id1,id2,Symbol,vq_star,number_of_causal,total,OMIM
6311,D000544,ATXN2,0.0,0,3,0
4287,D000544,ATXN3,0.0,0,1,0
6314,D000544,ATXN7,0.9898446094682006,1,2,0
724066,D000544,ATXN8,0.0,0,2,0
551,D000544,AVP,0.9051758268392162,4,43,0
554,D000544,AVPR2,0.0,0,1,0
8312,D000544,AXIN1,0.0,0,2,0
558,D000544,AXL,1.0,1,1,0
856240,D000544,AXL1,1.0,1,1,0
839286,D000544,AXR1,0.0,0,1,0
566,D000544,AZU1,0.9905674533819104,2,4,0
114512,D000544,Aatf,0.0,0,1,0
11303,D000544,Abca1,0.0,0,8,0
11305,D000544,Abca2,0.0,0,1,0
170913,D000544,Abcb1a,0.0,0,1,0
24646,D000544,Abcb1b,0.0,0,1,0
17250,D000544,Abcc1,0.0,0,1,0
25559,D000544,Abcc8,0.0,0,1,0
25560,D000544,Abcc9,0.0,0,1,0
11350,D000544,Abl1,0.0,0,1,0
1403840,D000544,Ac-PH,0.0,0,1,0
11595,D000544,Acan,0.0,0,2,0
110446,D000544,Acat1,0.0,0,1,0
11421,D000544,Ace,0.0,0,2,0
11423,D000544,Ache,0.8634437371390923,4,76,0
24159,D000544,Acly,0.0,0,1,0
20216,D000544,Acsm3,0.0,0,1,0
40444,D000544,Act79B,0.0,0,2,0
11461,D000544,Actb,0.0,0,9,0
11487,D000544,Adam10,0.9741378411845965,2,7,0
11491,D000544,Adam17,0.0,0,4,0
11502,D000544,Adam9,0.0,0,1,0
66015,D000544,Adamts4,0.0,0,1,0
25289,D000544,Adcy6,0.0,0,1,0
11516,D000544,Adcyap1,0.0,0,2,0
13733,D000544,Adgre1,0.0,0,5,0
11538,D000544,Adnp,0.0,0,3,0
29290,D000544,Adora1,0.0,0,2,0
25369,D000544,Adora2a,0.0,0,2,0
11542,D000544,Adora3,0.0,0,1,0
11555,D000544,Adrb2,1.0,1,1,0
11569,D000544,Aebp2,0.0,0,1,0
71562,D000544,Afmid,0.0,0,1,0
11576,D000544,Afp,0.0,0,1,0
11593,D000544,Aga,0.0,0,1,0
11596,D000544,Ager,0.9588626529769588,1,5,0
11606,D000544,Agt,0.0,0,1,0
269378,D000544,Ahcy,0.0,0,1,0
11629,D000544,Aif1,0.0,0,1,0
24192,D000544,Akr1b1,0.0,0,1,0
171445,D000544,Akr7a2,0.0,0,1,0
41957,D000544,Akt,0.0,0,1,0
24185,D000544,Akt1,0.0,0,21,0
11657,D000544,Alb,0.0,0,8,0
24188,D000544,Aldh1a1,0.0,0,1,0
11669,D000544,Aldh2,0.0,0,2,0
11670,D000544,Aldh3a1,0.0,0,1,0
56737,D000544,Alg2,0.0,0,1,0
208624,D000544,Alg3,0.9908596466049284,1,2,0
11689,D000544,Alox5,0.0,0,2,0
11690,D000544,Alox5ap,0.0,0,1,0
103979,D000544,Alph1,0.963996962192751,1,5,0
60668,D000544,Amph,0.0,0,1,0
25380;25673,D000544,Anxa1,0.0,0,1,0
12306,D000544,Anxa2,0.0,0,1,0
79124,D000544,Anxa4,0.0,0,1,0
11747,D000544,Anxa5,0.0,0,1,0
11754,D000544,Aoc3,0.0,0,1,0
78963,D000544,Apaf1,0.0,0,1,0
319924,D000544,Apba1,0.0,0,3,0
11784,D000544,Apba2,0.0,0,1,0
83611,D000544,Apba3,0.0,0,1,0
11785,D000544,Apbb1,0.0,0,8,0
24205,D000544,Apc,0.0,0,1,0
20219,D000544,Apcs,0.0,0,3,0
226548,D000544,Aph1a,0.0,0,2,0
208117,D000544,Aph1b,0.0,0,1,0
53472,D000544,Aplip1,0.0,0,1,0
11803,D000544,Aplp1,0.9094743480356764,1,13,0
11804,D000544,Aplp2,0.9929703388820276,7,12,0
11806,D000544,Apoa1,0.0,0,3,0
11807,D000544,Apoa2,0.0,0,1,0
238055,D000544,Apob,0.0,0,3,0
11815,D000544,Apod,0.9815881233365716,1,3,0
11816,D000544,Apoe,0.8884888720656866,9,125,0
11820,D000544,App,0.9662133796214648,218,1029,0
31002,D000544,Appl,0.9563697561975816,3,16,0
11826,D000544,Aqp1,0.0,0,1,0
11829,D000544,Aqp4,0.0,0,1,0
54323,D000544,Arc,0.0,0,1,0
11846,D000544,Arg1,0.0,0,1,0
11881,D000544,Arsb,0.0,0,1,0
84431,D000544,Asah1,0.0,0,1,0
17172,D000544,Ascl1,0.0,0,1,0
11894,D000544,Asp2,0.0,0,2,0
11898,D000544,Ass1,0.0,0,2,0
11909,D000544,Atf2,0.0,0,2,0
226641,D000544,Atf6,0.0,0,1,0
11938,D000544,Atp2a2,0.0,0,1,0
11946,D000544,Atp5f1a,0.0,0,1,0
11947,D000544,Atp5f1b,0.0,0,1,0
83526,D000544,Atrn,0.0,0,1,0
170821,D000544,Atxn10,0.0,0,1,0
24221,D000544,Avp,0.8860078138798961,1,13,0
79257,D000544,Axin1,1.0,1,1,0
567,D000544,B2M,0.0,0,7,0
12010,D000544,B2m,0.0,0,1,0
27087,D000544,B3GAT1,0.0,0,4,0
76898,D000544,B3gat1,0.0,0,1,0
23621,D000544,BACE1,0.9841939725414588,94,246,0
25825,D000544,BACE2,0.9684260841614736,6,28,0
578,D000544,BAK1,0.0,0,4,0
581,D000544,BAX,0.8747115859889382,3,45,0
590,D000544,BCHE,0.936672730045303,62,474,0
100009447,D000544,BCL-2,0.0,0,4,0
596,D000544,BCL2,0.886872119397003,6,81,0
597,D000544,BCL2A1,0.9813023760725236,3,11,0
598,D000544,BCL2L1,0.8896554918482277,2,27,0
10018,D000544,BCL2L11,0.9784537513951967,1,3,0
599,D000544,BCL2L2,1.0,1,1,0
602,D000544,BCL3,0.0,0,1,0
618,D000544,BCYRN1,0.0,0,2,0
623,D000544,BDKRB1,0.0,0,1,0
624,D000544,BDKRB2,0.0,0,2,0
627,D000544,BDNF,0.9306759160675008,14,114,0
632,D000544,BGLAP,0.0,0,2,0
633,D000544,BGN,0.0,0,1,0
637,D000544,BID,0.0,0,1,0
330,D000544,BIRC3,0.0,0,1,0
642,D000544,BLMH,0.979583287399496,5,15,0
649,D000544,BMP1,0.0,0,2,0
660,D000544,BMX,0.0,0,1,0
2186,D000544,BPTF,0.0,0,7,0
672,D000544,BRCA1,1.0,1,1,0
675,D000544,BRCA2,0.0,0,1,0
25798,D000544,BRI3,0.0,0,1,0
682,D000544,BSG,0.0,0,4,0
683,D000544,BST1,0.0,0,1,0
56244,D000544,BTNL2,0.0,0,1,0
100036030,D000544,Ba4,0.9617878251328504,1,7,0
34182,D000544,Bace,0.0,0,1,0
23821,D000544,Bace1,0.9746279878467402,13,48,0
288227,D000544,Bace2,0.974360681733902,1,3,0
116502,D000544,Bak1,0.0,0,1,0
12028,D000544,Bax,0.9199165875408394,1,9,0
29294,D000544,Bc1,0.0,0,1,0
12038,D000544,Bche,0.9242069719142934,2,19,0
12043,D000544,Bcl2,0.9689100364717594,3,13,0
12048,D000544,Bcl2l1,0.9934430901819432,1,2,0
64547,D000544,Bcl2l11,0.0,0,1,0
81509,D000544,Bdkrb1,0.0,0,1,0
12062,D000544,Bdkrb2,0.9923224071300468,1,2,0
24225,D000544,Bdnf,0.7539760210423786,1,25,0
12111,D000544,Bgn,0.0,0,1,0
140489,D000544,Bhlhe23,1.0,1,1,0
104184,D000544,Blmh,0.0,0,1,0
369036,D000544,Bp196,0.0,0,1,0
26363,D000544,Btd,0.0,0,1,0
712,D000544,C1QA,0.965094887498044,12,55,0
713,D000544,C1QB,0.0,0,4,0
708,D000544,C1QBP,0.0,0,2,0
715,D000544,C1R,0.9417740598444204,1,8,0
716,D000544,C1S,0.9860139946454676,3,8,0
12259,D000544,C1qa,0.941793585168205,1,7,0
29687,D000544,C1qb,0.0,0,3,0
50908,D000544,C1s1,0.9976583986553664,2,3,0
717,D000544,C2,1.0,2,2,0
718,D000544,C3,0.945862023048651,2,12,0
12267,D000544,C3ar1,0.0,0,1,0
720,D000544,C4A,0.0,0,1,0
721,D000544,C4B,0.948324720909962,1,4,0
722,D000544,C4BPA,0.0,0,5,0
100293534,D000544,C4B_2,0.0,0,5,0
727;729;730;3224;735,D000544,C5,1.0,1,1,0
728,D000544,C5AR1,0.9819477488055602,3,9,0
12273,D000544,C5ar1,0.0,0,1,0
117512,D000544,C9,0.0,0,2,0
759,D000544,CA1,0.0,0,9,0
377677;759;760;761,D000544,CA13,0.0,0,1,0
23632,D000544,CA14,0.0,0,1,0
760,D000544,CA2,0.0,0,10,0
761,D000544,CA3,0.0,0,2,0
762,D000544,CA4,0.0,0,4,0
766,D000544,CA7,0.0,0,1,0
773,D000544,CACNA1A,0.0,0,3,0
8912,D000544,CACNA1H,0.0,0,1,0
143384,D000544,CACUL1,0.0,0,2,0
793,D000544,CALB1,0.9361149321983412,2,17,0
794,D000544,CALB2,0.0,0,8,0
796,D000544,CALCA,0.9388657871264896,1,5,0
326597,D000544,CALM,0.0,0,1,0
801,D000544,CALM1,0.952225063758942,4,20,0
808,D000544,CALM3,0.0,0,1,0
811,D000544,CALR,0.0,0,4,0
815,D000544,CAMK2A,0.0,0,1,0
818,D000544,CAMK2G,0.0,0,6,0
814,D000544,CAMK4,0.0,0,1,0
820,D000544,CAMP,0.0,0,1,0
821,D000544,CANX,0.0,0,1,0
823,D000544,CAPN1,0.9847862797505976,2,6,0
11132,D000544,CAPN10,0.0,0,1,0
824,D000544,CAPN2,0.9675471809142312,3,13,0
825,D000544,CAPN3,0.0,0,1,0
10753,D000544,CAPN9,0.0,0,2,0
826,D000544,CAPNS1,0.0,0,1,0
10498,D000544,CARM1,0.0,0,1,0
8573,D000544,CASK,0.0,0,1,0
834,D000544,CASP1,0.9590126983185292,2,11,0
835,D000544,CASP2,0.0,0,5,0
836,D000544,CASP3,0.9389222098200516,17,135,0
837,D000544,CASP4,0.0,0,2,0
838,D000544,CASP5,0.0,0,1,0
839,D000544,CASP6,0.966319752163888,2,9,0
840,D000544,CASP7,0.0,0,6,0
841,D000544,CASP8,0.9643218138835452,4,19,0
842,D000544,CASP9,0.954559495887866,2,11,0
846,D000544,CASR,0.0,0,1,0
831,D000544,CAST,0.9797625138164736,5,14,0
847,D000544,CAT,0.953705196404548,8,54,0
857,D000544,CAV1,0.0,0,4,0
858,D000544,CAV2,0.0,0,1,0
859,D000544,CAV3,0.0,0,1,0
867,D000544,CBL,0.0,0,1,0
2694,D000544,CBLIF,0.9642851513198036,1,7,0
158506,D000544,CBLL2,0.0,0,2,0
873,D000544,CBR1,0.0,0,1,0
875,D000544,CBS,0.983155117157733,4,12,0
23468,D000544,CBX5,0.0,0,2,0
885,D000544,CCK,0.0,0,18,0
6356,D000544,CCL11,0.0,0,1,0
6347,D000544,CCL2,0.9480422094383618,4,24,0
6348,D000544,CCL3,0.0,0,9,0
6351,D000544,CCL4,0.0,0,5,0
6352,D000544,CCL5,0.9796496320293664,3,9,0
6354,D000544,CCL7,1.0,1,1,0
3491,D000544,CCN1,0.0,0,1,0
1490,D000544,CCN2,0.0,0,2,0
890,D000544,CCNA2,0.9883897310712594,1,2,0
891,D000544,CCNB1,0.0,0,5,0
892,D000544,CCNC,1.0,1,1,0
595,D000544,CCND1,0.0,0,13,0
900,D000544,CCNG1,0.0,0,1,0
81669,D000544,CCNL2,0.0,0,4,0
1230,D000544,CCR1,0.0,0,4,0
729230,D000544,CCR2,0.9786135523384978,1,3,0
1232,D000544,CCR3,0.0,0,3,0
1234,D000544,CCR5,0.9768284920052304,3,10,0
9973,D000544,CCS,0.0,0,4,0
10575,D000544,CCT4,0.0,0,1,0
22948,D000544,CCT5,0.0,0,2,0
929,D000544,CD14,0.981461793994377,2,6,0
9332,D000544,CD163,0.0,0,1,0
57126,D000544,CD177,0.9939312643307848,3,6,0
930,D000544,CD19,0.9906249739665572,2,4,0
914,D000544,CD2,0.0,0,1,0
4345,D000544,CD200,0.0,0,2,0
100133941,D000544,CD24,0.0,0,1,0
940,D000544,CD28,0.0,0,5,0
947,D000544,CD34,0.9852852415034776,1,3,0
915,D000544,CD3D,0.0,0,1,0
920,D000544,CD4,0.8557844718179887,2,28,0
958,D000544,CD40,0.8890311194193994,1,13,0
959,D000544,CD40LG,0.8886695683895015,1,12,0
960,D000544,CD44,0.9649769192900128,9,45,0
4179,D000544,CD46,1.0,1,1,0
921,D000544,CD5,0.0,0,1,0
1604,D000544,CD55,1.0,1,1,0
965,D000544,CD58,0.0,0,1,0
966,D000544,CD59,0.9655721297072174,2,8,0
967,D000544,CD63,0.0,0,4,0
968,D000544,CD68,0.8537752152508674,1,18,0
969,D000544,CD69,0.989478581183484,1,2,0
924,D000544,CD7,0.0,0,2,0
973,D000544,CD79A,0.9578072311451906,2,11,0
941,D000544,CD80,0.0,0,1,0
3732,D000544,CD82,0.0,0,1,0
942,D000544,CD86,0.0,0,2,0
925,D000544,CD8A,0.9426264199490686,2,18,0
928,D000544,CD9,0.0,0,1,0
4267,D000544,CD99,0.0,0,1,0
993,D000544,CDC25A,1.0,1,1,0
994,D000544,CDC25B,1.0,1,1,0
995,D000544,CDC25C,0.9782393208567864,1,3,0
850539,D000544,CDC4,0.0,0,1,0
998,D000544,CDC42,0.0,0,2,0
851424,D000544,CDC53,0.0,0,1,0
999,D000544,CDH1,0.9692167751618612,1,8,0
1015,D000544,CDH17,0.0,0,1,0
1000,D000544,CDH2,0.987950354229332,5,13,0
1003,D000544,CDH5,0.0,0,1,0
983,D000544,CDK1,0.9545768264162684,5,28,0
728642;984;3674,D000544,CDK11A,0.0,0,1,0
984,D000544,CDK11B,0.0,0,1,0
5129,D000544,CDK18,0.0,0,1,0
1017,D000544,CDK2,0.945501049267285,2,15,0
23552,D000544,CDK20,0.0,0,2,0
1019,D000544,CDK4,0.9858728152946178,2,5,0
1020,D000544,CDK5,0.9594682167289594,18,95,0
8851,D000544,CDK5R1,0.9532772841244774,7,45,0
8941,D000544,CDK5R2,0.9562998705724476,1,6,0
1021,D000544,CDK6,0.0,0,1,0
1022,D000544,CDK7,0.0,0,2,0
1024,D000544,CDK8,0.0,0,1,0
8814,D000544,CDKL1,1.0,1,1,0
8999,D000544,CDKL2,0.9745375072524614,1,4,0
1026,D000544,CDKN1A,0.9963820341856032,2,3,0
1027,D000544,CDKN1B,0.9629205641938527,1,5,0
1029,D000544,CDKN2A,0.9799154485813852,2,5,0
1031,D000544,CDKN2C,0.0,0,1,0
1050,D000544,CEBPA,0.0,0,2,0
1051,D000544,CEBPB,0.0,0,2,0
1052,D000544,CEBPD,1.0,1,1,0
10153,D000544,CEBPZ,0.0,0,1,0
1056,D000544,CEL,0.0,0,1,0
1066,D000544,CES1,0.9314823662276388,1,7,0
8824,D000544,CES2,0.0,0,1,0
1068,D000544,CETN1,0.0,0,27,0
1071,D000544,CETP,0.9528807626533458,2,13,0
57587,D000544,CFAP97,1.0,1,1,0
629,D000544,CFB,0.0,0,2,0
3075,D000544,CFH,0.9585880875553504,1,5,0
1072,D000544,CFL1,0.0,0,7,0
8837,D000544,CFLAR,0.0,0,1,0
5199,D000544,CFP,0.0,0,1,0
9023,D000544,CH25H,0.0,0,4,0
1103,D000544,CHAT,0.9433317732281092,20,136,0
1113,D000544,CHGA,0.9453163078032136,4,26,0
1114,D000544,CHGB,0.9555962886007896,1,5,0
1118,D000544,CHIT1,1.0,1,1,0
1119,D000544,CHKA,0.0,0,1,0
27243,D000544,CHMP2A,0.0,0,1,0
89832,D000544,CHRFAM7A,0.0,0,14,0
1128,D000544,CHRM1,0.9001188146914696,1,10,0
1129,D000544,CHRM2,0.0,0,4,0
1131,D000544,CHRM3,0.0,0,2,0
574330,D000544,CHRM5,0.0,0,1,0
1134,D000544,CHRNA1,0.0,0,1,0
1136,D000544,CHRNA3,0.0,0,1,0
1137,D000544,CHRNA4,0.0,0,49,0
1139,D000544,CHRNA7,0.8945699147160697,2,25,0
1141,D000544,CHRNB2,0.0,0,3,0
395604,D000544,CHRNB3,0.0,0,1,0
10519,D000544,CIB1,0.0,0,1,0
22858,D000544,CILK1,0.0,0,3,0
1154,D000544,CISH,0.0,0,1,0
1152,D000544,CKB,0.9110705375543424,1,9,0
1158,D000544,CKM,0.0,0,1,0
23529,D000544,CLCF1,0.0,0,1,0
5010,D000544,CLDN11,0.0,0,1,0
1365,D000544,CLDN3,0.0,0,1,0
64581,D000544,CLEC7A,0.0,0,1,0
6249,D000544,CLIP1,0.0,0,2,0
1196,D000544,CLK2,0.0,0,1,0
1201,D000544,CLN3,1.0,1,1,0
64084,D000544,CLSTN2,0.0,0,1,0
1211,D000544,CLTA,0.0,0,2,0
1212,D000544,CLTB,0.0,0,1,0
1191,D000544,CLU,0.9349752371706276,6,50,0
1215,D000544,CMA1,0.0,0,1,0
51727,D000544,CMPK1,0.9923452790269748,4,7,0
129607,D000544,CMPK2,1.0,1,1,0
7555,D000544,CNBP,0.0,0,3,0
26504,D000544,CNNM4,0.0,0,1,0
1267,D000544,CNP,0.98603900473789,2,5,0
1268,D000544,CNR1,0.0,0,3,0
1269,D000544,CNR2,0.0,0,3,0
1270,D000544,CNTF,0.9173366187848176,1,10,0
80347,D000544,COASY,0.0,0,1,0
8161,D000544,COIL,0.9789294106972862,1,3,0
1302,D000544,COL11A2,0.0,0,1,0
80781,D000544,COL18A1,0.9711556849692362,1,4,0
84570,D000544,COL25A1,0.0,0,3,0
1312,D000544,COMT,0.965642075146964,3,14,0
64326,D000544,COP1,0.0,0,1,0
9276,D000544,COPB2,0.0,0,1,0
9318,D000544,COPS2,0.0,0,1,0
10987,D000544,COPS5,0.0,0,2,0
10229,D000544,COQ7,0.0,0,1,0
1325,D000544,CORT,0.0,0,2,0
4512,D000544,COX1,0.956293249122529,9,50,0
1353,D000544,COX11,0.0,0,1,0
4513,D000544,COX2,0.9140412455541682,7,71,0
4514,D000544,COX3,0.9944894419314848,2,3,0
1327,D000544,COX4I1,0.990423544045522,1,2,0
1351,D000544,COX8A,0.9913286367455484,10,19,0
1356,D000544,CP,0.9716041880088812,9,35,0
7938,D000544,CP20,0.9978688709592556,4,5,0
1360,D000544,CPB1,0.0,0,1,0
1363,D000544,CPE,0.0,0,1,0
10815,D000544,CPLX1,0.0,0,2,0
10814,D000544,CPLX2,0.0,0,2,0
1368,D000544,CPM,0.0,0,1,0
10404,D000544,CPQ,0.9758902827404548,3,10,0
1375,D000544,CPT1B,0.0,0,2,0
1376,D000544,CPT2,0.0,0,1,0
1378,D000544,CR1,0.9803403982200688,1,3,0
1380,D000544,CR2,1.0,1,1,0
8738,D000544,CRADD,1.0,1,1,0
1385,D000544,CREB1,0.0,0,30,0
1387,D000544,CREBBP,0.9661080178193086,2,7,0
1392,D000544,CRH,0.9650658287745172,12,58,0
1393,D000544,CRHBP,0.0,0,3,0
